"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_ansigt;ansigt;ansigterne;;substantiv intetkøn flertal bestemt;noun plural definite;face;the faces;;Stå ansigt til ansigt.;Stand face to face.;"
"1_ansigt;ansigt;ansigter;;substantiv intetkøn flertal ubestemt;noun plural indefinite;face;faces;;Stå ansigt til ansigt.;Stand face to face.;"
"1_ansigt;ansigt;ansigtet;;substantiv intetkøn ental bestemt;noun singular definite;face;the face;;Stå ansigt til ansigt.;Stand face to face.;"
"1_ansigtsløftning;ansigtsløftning;ansigtsløftning;;substantiv fælleskøn;noun;facelift;facelift;;;;"
"1_ansigtsløftning;ansigtsløftning;ansigtsløftningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;facelift;the facelifts;;;;"
"1_ansigtsløftning;ansigtsløftning;ansigtsløftninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;facelift;facelifts;;;;"
"1_ansigtsløftning;ansigtsløftning;ansigtsløftningen;;substantiv fælleskøn ental bestemt;noun singular definite;facelift;the facelift;;;;"
1_ansjos;ansjos;ansjos;;substantiv;noun;anchovy;anchovy;;;;
"1_ansjos;ansjos;ansjoserne;;substantiv fælleskøn flertal bestemt;noun plural definite;anchovy;the anchovies;;;;"
"1_ansjos;ansjos;ansjoser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;anchovy;anchovies;;;;"
"1_ansjos;ansjos;ansjosen;;substantiv fælleskøn ental bestemt;noun singular definite;anchovy;the anchovy;;;;"
1_anskaffe;anskaffe;anskaffe;;verbum;verb;acquire;acquire;;;;
1_anskaffe;anskaffe;anskaffe;;verbum;verb;purchase;purchase;;;;
1_anskueliggøre;anskueliggøre;anskueliggøre;;verbum;verb;illustrate;illustrate;;;;
"1_anskueliggøre;anskueliggøre;anskueliggjorde;;verbum datid;verb past tense;illustrate;illustrated;;;;"
"1_anskueliggøre;anskueliggøre;anskueliggør;;verbum nutid;verb present 3rd person singular;illustrate;illustrates;;;;"
"1_anskueliggøre;anskueliggøre;anskueliggør;;verbum nutid;verb present non 3rd person;illustrate;illustrate;;;;"
1_anslag;anslag;anslag;;substantiv;noun;assault;assault;;;;
"1_anslag;anslag;anslagene;;substantiv intetkøn flertal bestemt;noun plural definite;assault;the assaults;;;;"
"1_anslag;anslag;anslag;;substantiv intetkøn flertal ubestemt;noun plural indefinite;assault;assaults;;;;"
"1_anslag;anslag;anslaget;;substantiv intetkøn ental bestemt;noun singular definite;assault;the assault;;;;"
"1_anslag;anslag;anslag;;substantiv intetkøn;noun;attack;attack;;;;"
1_anslået;anslået;anslået;;adjektiv,participum;adjective,participle;estimated;estimated;;;;
1_anspore;anspore;anspore;;verbum;verb;encourage;encourage;;;;
1_anstrengelse;anstrengelse;anstrengelse;;substantiv;noun;tension;tension;;;;
"1_anstrengelse;anstrengelse;anstrengelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;tension;the tensions;;;;"
"1_anstrengelse;anstrengelse;anstrengelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;tension;tensions;;;;"
"1_anstrengelse;anstrengelse;anstrengelsen;;substantiv fælleskøn ental bestemt;noun singular definite;tension;the tension;;;;"
"1_anstændighed;anstændighed;anstændighed;;substantiv fælleskøn;noun;modesty;modesty;;;;"
"1_anstændighed;anstændighed;anstændigheden;;substantiv fælleskøn ental bestemt;noun singular definite;modesty;the modesty;;;;"
"1_ansvar;ansvar;ansvar;;substantiv intetkøn;noun;responsibility;responsibility;;Det er dit ansvar.;That's your responsibility.;"
"1_ansvar;ansvar;ansvaret;;substantiv intetkøn ental bestemt;noun singular definite;responsibility;the responsibility;;Det er dit ansvar.;That's your responsibility.;"
"1_ansvarlig;ansvarlig;ansvarlig;;adjektiv;adjective;accountable;accountable;;Vi vil holde Tom ansvarlig.;We will hold Tom accountable.;"
1_ansvarlig;ansvarlig;ansvarlig;;adjektiv;adjective;liable;liable;;;;
"1_ansvarlig;ansvarlig;ansvarlige;;adjektiv flertal;adjective plural;liable;liable;;;;"
"1_ansvarlig;ansvarlig;ansvarlig;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;liable;liable;;;;"
"1_ansvarlig;ansvarlig;ansvarligt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;liable;liable;;;;"
"1_ansvarlig;ansvarlig;ansvarlig;;adjektiv;adjective;responsible;responsible;;Du er ansvarlig for det du har gjort.;You are responsible for what you have done.;"
"1_ansvarlig;ansvarlig;ansvarlige;;adjektiv flertal;adjective plural;responsible;responsible;;Du er ansvarlig for det du har gjort.;You are responsible for what you have done.;"
"1_ansvarlig;ansvarlig;ansvarlig;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;responsible;responsible;;Du er ansvarlig for det du har gjort.;You are responsible for what you have done.;"
"1_ansvarlig;ansvarlig;ansvarligt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;responsible;responsible;;Du er ansvarlig for det du har gjort.;You are responsible for what you have done.;"
"1_ansvarlig;ansvarlig;ansvarlige;;adjektiv ental bestemt;adjective singular definite;liable;the liable;;;;"
"1_ansvarlig;ansvarlig;ansvarlige;;adjektiv ental bestemt;adjective singular definite;responsible;the responsible;;Du er ansvarlig for det du har gjort.;You are responsible for what you have done.;"
1_ansvarsbevidst;ansvarsbevidst;ansvarsbevidst;;adjektiv;adjective;responsible;responsible;;;;
"1_ansvarsbevidst;ansvarsbevidst;ansvarsbevidste;;adjektiv flertal;adjective plural;responsible;responsible;;;;"
"1_ansvarsbevidst;ansvarsbevidst;ansvarsbevidst;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;responsible;responsible;;;;"
"1_ansvarsbevidst;ansvarsbevidst;ansvarsbevidst;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;responsible;responsible;;;;"
"1_ansvarsbevidst;ansvarsbevidst;ansvarsbevidste;;adjektiv ental bestemt;adjective singular definite;responsible;the responsible;;;;"
1_ansvarsfraskrivelse;ansvarsfraskrivelse;ansvarsfraskrivelse;;substantiv;noun;disclaimer;disclaimer;;;;
"1_ansvarsfraskrivelse;ansvarsfraskrivelse;ansvarsfraskrivelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;disclaimer;the disclaimers;;;;"
"1_ansvarsfraskrivelse;ansvarsfraskrivelse;ansvarsfraskrivelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;disclaimer;disclaimers;;;;"
"1_ansvarsfraskrivelse;ansvarsfraskrivelse;ansvarsfraskrivelsen;;substantiv fælleskøn ental bestemt;noun singular definite;disclaimer;the disclaimer;;;;"
1_ansvarsfuld;ansvarsfuld;ansvarsfuld;;adjektiv;adjective;responsible;responsible;;;;
"1_ansvarsfuld;ansvarsfuld;ansvarsfulde;;adjektiv flertal;adjective plural;responsible;responsible;;;;"
"1_ansvarsfuld;ansvarsfuld;ansvarsfuld;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;responsible;responsible;;;;"
"1_ansvarsfuld;ansvarsfuld;ansvarsfuldt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;responsible;responsible;;;;"
"1_ansvarsfuld;ansvarsfuld;ansvarsfulde;;adjektiv ental bestemt;adjective singular definite;responsible;the responsible;;;;"
"1_ansvarsfølelse;ansvarsfølelse;ansvarsfølelse;;substantiv fælleskøn;noun;sense of responsibility;sense of responsibility;;;;"
1_ansøge;ansøge;ansøge;;verbum;verb;apply;apply;;;;
"1_ansøge_om;ansøge om;ansøge om;;verbum;verb;apply for;apply for;;;;"
"1_ansøger;ansøger;ansøger;;substantiv fælleskøn;noun;applicant;applicant;;;;"
"1_ansøger;ansøger;ansøgerne;;substantiv fælleskøn flertal bestemt;noun plural definite;applicant;the applicants;;;;"
"1_ansøger;ansøger;ansøgere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;applicant;applicants;;;;"
"1_ansøger;ansøger;ansøgeren;;substantiv fælleskøn ental bestemt;noun singular definite;applicant;the applicant;;;;"
1_ansøger;ansøger;ansøger;;substantiv;noun;candidate;candidate;;;;
"1_ansøger;ansøger;ansøgerne;;substantiv fælleskøn flertal bestemt;noun plural definite;candidate;the candidates;;;;"
"1_ansøger;ansøger;ansøgere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;candidate;candidates;;;;"
"1_ansøger;ansøger;ansøgeren;;substantiv fælleskøn ental bestemt;noun singular definite;candidate;the candidate;;;;"
"1_ansøgning;ansøgning;ansøgning;;substantiv fælleskøn;noun;application;application;;;;"
"1_ansøgning;ansøgning;ansøgningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;application;the applications;;;;"
"1_ansøgning;ansøgning;ansøgninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;application;applications;;;;"
"1_ansøgning;ansøgning;ansøgningen;;substantiv fælleskøn ental bestemt;noun singular definite;application;the application;;;;"
1_antage;antage;antage;;verbum;verb;guess;guess;;;;
"1_antage;antage;antog;;verbum datid;verb past tense;guess;guessed;;;;"
"1_antage;antage;antager;;verbum nutid;verb present 3rd person singular;guess;guesses;;;;"
"1_antage;antage;antager;;verbum nutid;verb present non 3rd person;guess;guess;;;;"
1_antage;antage;antage;;verbum;verb;presume;presume;;;;
"1_antage;antage;antog;;verbum datid;verb past tense;presume;presumed;;;;"
"1_antage;antage;antager;;verbum nutid;verb present 3rd person singular;presume;presumes;;;;"
"1_antage;antage;antager;;verbum nutid;verb present non 3rd person;presume;presume;;;;"
1_antage;antage;antage;;verbum;verb;suppose;suppose;;;;
"1_antage;antage;antog;;verbum datid;verb past tense;suppose;supposed;;;;"
"1_antage;antage;antager;;verbum nutid;verb present 3rd person singular;suppose;supposes;;;;"
"1_antage;antage;antager;;verbum nutid;verb present non 3rd person;suppose;suppose;;;;"
1_antagelig;antagelig;antagelig;;adjektiv;adjective;acceptable;acceptable;;;;
"1_antagelig;antagelig;antagelige;;adjektiv flertal;adjective plural;acceptable;acceptable;;;;"
"1_antagelig;antagelig;antagelig;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;acceptable;acceptable;;;;"
"1_antagelig;antagelig;antageligt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;acceptable;acceptable;;;;"
"1_antagelig;antagelig;antagelige;;adjektiv ental bestemt;adjective singular definite;acceptable;the acceptable;;;;"
"1_antagelse;antagelse;antagelse;;substantiv fælleskøn;noun;assumption;assumption;;;;"
"1_antagelse;antagelse;antagelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;assumption;the assumptions;;;;"
"1_antagelse;antagelse;antagelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;assumption;assumptions;;;;"
"1_antagelse;antagelse;antagelsen;;substantiv fælleskøn ental bestemt;noun singular definite;assumption;the assumption;;;;"
"1_antagonisme;antagonisme;antagonisme;;substantiv fælleskøn;noun;antagonism;antagonism;;;;"
"1_antagonisme;antagonisme;antagonismerne;;substantiv fælleskøn flertal bestemt;noun plural definite;antagonism;the antagonisms;;;;"
"1_antagonisme;antagonisme;antagonismer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;antagonism;antagonisms;;;;"
"1_antagonisme;antagonisme;antagonismen;;substantiv fælleskøn ental bestemt;noun singular definite;antagonism;the antagonism;;;;"
"1_antagonist;antagonist;antagonist;;substantiv fælleskøn;noun;antagonist;antagonist;;;;"
"1_antagonist;antagonist;antagonisterne;;substantiv fælleskøn flertal bestemt;noun plural definite;antagonist;the antagonists;;;;"
"1_antagonist;antagonist;antagonister;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;antagonist;antagonists;;;;"
"1_antagonist;antagonist;antagonisten;;substantiv fælleskøn ental bestemt;noun singular definite;antagonist;the antagonist;;;;"
1_antagonistisk;antagonistisk;antagonistisk;;adjektiv;adjective;antagonistic;antagonistic;;;;
"1_antagonistisk;antagonistisk;antagonistiske;;adjektiv flertal;adjective plural;antagonistic;antagonistic;;;;"
"1_antagonistisk;antagonistisk;antagonistisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;antagonistic;antagonistic;;;;"
"1_antagonistisk;antagonistisk;antagonistisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;antagonistic;antagonistic;;;;"
"1_antagonistisk;antagonistisk;antagonistiske;;adjektiv ental bestemt;adjective singular definite;antagonistic;the antagonistic;;;;"
1_antal;antal;antal;;substantiv;noun;amount;amount;;;;
"1_antal;antal;antallene;;substantiv intetkøn flertal bestemt;noun plural definite;amount;the amounts;;;;"
"1_antal;antal;antal;;substantiv intetkøn flertal ubestemt;noun plural indefinite;amount;amounts;;;;"
"1_antal;antal;antallet;;substantiv intetkøn ental bestemt;noun singular definite;amount;the amount;;;;"
"1_antal;antal;antal;;substantiv intetkøn;noun;number;number;;Jeg har et stort antal bøger i min bogreol.;I have a large number of books on my bookshelf.;"
"1_antal;antal;antallene;;substantiv intetkøn flertal bestemt;noun plural definite;number;the numbers;;Jeg har et stort antal bøger i min bogreol.;I have a large number of books on my bookshelf.;"
"1_antal;antal;antal;;substantiv intetkøn flertal ubestemt;noun plural indefinite;number;numbers;;Jeg har et stort antal bøger i min bogreol.;I have a large number of books on my bookshelf.;"
"1_antal;antal;antallet;;substantiv intetkøn ental bestemt;noun singular definite;number;the number;;Jeg har et stort antal bøger i min bogreol.;I have a large number of books on my bookshelf.;"
"1_antenne;antenne;antenne;britisk;substantiv fælleskøn;noun;aerial;aerial;british;;;"
"1_antenne;antenne;antennerne;;substantiv fælleskøn flertal bestemt;noun plural definite;aerial;the aerials;;;;"
"1_antenne;antenne;antenner;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;aerial;aerials;;;;"
"1_antenne;antenne;antennen;;substantiv fælleskøn ental bestemt;noun singular definite;aerial;the aerial;;;;"
"1_antenne;antenne;antenne;;substantiv fælleskøn;noun;antenna;antenna;;;;"
"1_antenne;antenne;antennerne;;substantiv fælleskøn flertal bestemt;noun plural definite;antenna;the antennae;;;;"
"1_antenne;antenne;antenner;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;antenna;antennae;;;;"
"1_antenne;antenne;antennen;;substantiv fælleskøn ental bestemt;noun singular definite;antenna;the antenna;;;;"
"1_antibiotikum;antibiotikum;antibiotikum;;substantiv;noun;antibiotic;antibiotic;;Hvis det er en infektion"," vil du måske få brug for antibiotika.;If it's an infection"," you might need antibiotics.;"
"1_antibiotikum;antibiotikum;antibiotikaene;;substantiv intetkøn flertal bestemt;noun plural definite;antibiotic;the antibiotics;;Hvis det er en infektion"," vil du måske få brug for antibiotika.;If it's an infection"," you might need antibiotics.;"
"1_antibiotikum;antibiotikum;antibiotika;;substantiv intetkøn flertal ubestemt;noun plural indefinite;antibiotic;antibiotics;;Hvis det er en infektion"," vil du måske få brug for antibiotika.;If it's an infection"," you might need antibiotics.;"
"1_antibiotikum;antibiotikum;antibiotikummet;;substantiv intetkøn ental bestemt;noun singular definite;antibiotic;the antibiotic;;Hvis det er en infektion"," vil du måske få brug for antibiotika.;If it's an infection"," you might need antibiotics.;"
"1_antik;antik;antik;;adjektiv;adjective;ancient;ancient;;Laserstråler bliver brugt til at restaurere antikke værker.;Laser rays are used in the restoration of ancient works.;"
"1_antik;antik;antikke;;adjektiv flertal;adjective plural;ancient;ancient;;Laserstråler bliver brugt til at restaurere antikke værker.;Laser rays are used in the restoration of ancient works.;"
"1_antik;antik;antik;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;ancient;ancient;;Laserstråler bliver brugt til at restaurere antikke værker.;Laser rays are used in the restoration of ancient works.;"
"1_antik;antik;antikt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;ancient;ancient;;Laserstråler bliver brugt til at restaurere antikke værker.;Laser rays are used in the restoration of ancient works.;"
1_antik;antik;antik;;adjektiv;adjective;antique;antique;;;;
"1_antik;antik;antikke;;adjektiv flertal;adjective plural;antique;antique;;;;"
"1_antik;antik;antik;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;antique;antique;;;;"
"1_antik;antik;antikt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;antique;antique;;;;"
"1_antik;antik;antikke;;adjektiv ental bestemt;adjective singular definite;ancient;the ancient;;Laserstråler bliver brugt til at restaurere antikke værker.;Laser rays are used in the restoration of ancient works.;"
"1_antik;antik;antikke;;adjektiv ental bestemt;adjective singular definite;antique;the antique;;;;"
1_antiklimaks;antiklimaks;antiklimaks;;substantiv;noun;anticlimax;anticlimax;;;;
"1_antiklimaks;antiklimaks;antiklimakserne;;substantiv fælleskøn flertal bestemt;noun plural definite;anticlimax;the anti-climaxes;;;;"
"1_antiklimaks;antiklimaks;antiklimakserne;;substantiv intetkøn flertal bestemt;noun plural definite;anticlimax;the anti-climaxes;;;;"
"1_antiklimaks;antiklimaks;antiklimakser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;anticlimax;anti-climaxes;;;;"
"1_antiklimaks;antiklimaks;antiklimakser;;substantiv intetkøn flertal ubestemt;noun plural indefinite;anticlimax;anti-climaxes;;;;"
"1_antiklimaks;antiklimaks;antiklimaksen;;substantiv fælleskøn ental bestemt;noun singular definite;anticlimax;the anti-climax;;;;"
"1_antiklimaks;antiklimaks;antiklimakset;;substantiv intetkøn ental bestemt;noun singular definite;anticlimax;the anti-climax;;;;"
"1_antikvitet;antikvitet;antikvitet;;substantiv fælleskøn;noun;antique;antique;;;;"
"1_antikvitet;antikvitet;antikviteterne;;substantiv fælleskøn flertal bestemt;noun plural definite;antique;the antiques;;;;"
"1_antikvitet;antikvitet;antikviteter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;antique;antiques;;;;"
"1_antikvitet;antikvitet;antikviteten;;substantiv fælleskøn ental bestemt;noun singular definite;antique;the antique;;;;"
"1_antipartikel;antipartikel;antipartikel;;substantiv fælleskøn;noun;antiparticle;antiparticle;;;;"
"1_antipartikel;antipartikel;antipartiklerne;;substantiv fælleskøn flertal bestemt;noun plural definite;antiparticle;the anti-particles;;;;"
"1_antipartikel;antipartikel;antipartikler;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;antiparticle;anti-particles;;;;"
"1_antipartikel;antipartikel;antipartiklen;;substantiv fælleskøn ental bestemt;noun singular definite;antiparticle;the anti-particle;;;;"
1_antisemitisme;antisemitisme;antisemitisme;;substantiv;noun;antisemitism;antisemitism;;;;
1_antiseptisk;antiseptisk;antiseptisk;;adjektiv;adjective;antiseptic;antiseptic;;;;
"1_antonym;antonym;antonym;;substantiv intetkøn;noun;antonym;antonym;;;;"
"1_antonym;antonym;antonymerne;;substantiv intetkøn flertal bestemt;noun plural definite;antonym;the antonyms;;;;"
"1_antonym;antonym;antonymer;;substantiv intetkøn flertal ubestemt;noun plural indefinite;antonym;antonyms;;;;"
"1_antonym;antonym;antonymet;;substantiv intetkøn ental bestemt;noun singular definite;antonym;the antonym;;;;"
1_antonym;antonym;antonym;;adjektiv;adjective;antonymic;antonymic;;;;
"1_antracit;antracit;antracit;;substantiv fælleskøn;noun;anthracite;anthracite;;;;"
"1_antracit;antracit;antracitten;;substantiv fælleskøn ental bestemt;noun singular definite;anthracite;the anthracite;;;;"
"1_antropologi;antropologi;antropologi;;substantiv fælleskøn;noun;anthropology;anthropology;;;;"
"1_antropologi;antropologi;antropologien;;substantiv fælleskøn ental bestemt;noun singular definite;anthropology;the anthropology;;;;"
1_antropologisk;antropologisk;antropologisk;;adjektiv;adjective;anthropological;anthropological;;;;
"1_antropologisk;antropologisk;antropologiske;;adjektiv flertal;adjective plural;anthropological;anthropological;;;;"
"1_antropologisk;antropologisk;antropologisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;anthropological;anthropological;;;;"
"1_antropologisk;antropologisk;antropologisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;anthropological;anthropological;;;;"
"1_antropologisk;antropologisk;antropologiske;;adjektiv ental bestemt;adjective singular definite;anthropological;the anthropological;;;;"
1_antyde;antyde;antyde;;verbum;verb;hint;hint;;;;
"1_antydning;antydning;antydning;;substantiv fælleskøn;noun;hint;hint;;;;"
"1_antydning;antydning;antydningerne;;substantiv fælleskøn flertal bestemt;noun plural definite;hint;the hints;;;;"
"1_antydning;antydning;antydninger;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;hint;hints;;;;"
"1_antydning;antydning;antydningen;;substantiv fælleskøn ental bestemt;noun singular definite;hint;the hint;;;;"
1_antænde;antænde;antænde;;verbum;verb;light;light;;;;
1_anvende;anvende;anvende;;verbum;verb;apply;apply;;;;
1_anvende;anvende;anvende;;verbum;verb;apply;apply;;;;
"1_anvende;anvende;anvendte;;verbum datid;verb past tense;apply;applied;;;;"
"1_anvende;anvende;anvender;;verbum nutid;verb present 3rd person singular;apply;applies;;;;"
"1_anvende;anvende;anvender;;verbum nutid;verb present non 3rd person;apply;apply;;;;"
1_anvende;anvende;anvende;;verbum;verb;use;use;;;;
"1_anvendelighed;anvendelighed;anvendelighed;;substantiv fælleskøn;noun;applicability;applicability;;;;"
"1_anvendelighed;anvendelighed;anvendeligheden;;substantiv fælleskøn ental bestemt;noun singular definite;applicability;the applicability;;;;"
"1_anvendelse;anvendelse;anvendelse;;substantiv fælleskøn;noun;use;use;;Jeg har endelig fundet en anvendelse for denne gamle ting.;I finally found a use for this old thing.;"
"1_anvendelse;anvendelse;anvendelserne;;substantiv fælleskøn flertal bestemt;noun plural definite;use;the uses;;Jeg har endelig fundet en anvendelse for denne gamle ting.;I finally found a use for this old thing.;"
"1_anvendelse;anvendelse;anvendelser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;use;uses;;Jeg har endelig fundet en anvendelse for denne gamle ting.;I finally found a use for this old thing.;"
"1_anvendelse;anvendelse;anvendelsen;;substantiv fælleskøn ental bestemt;noun singular definite;use;the use;;Jeg har endelig fundet en anvendelse for denne gamle ting.;I finally found a use for this old thing.;"
"1_anæmi;anæmi;anæmi;britisk;substantiv fælleskøn;noun;anaemia;anaemia;british;Lægen analyserede blodprøven for anæmi.;The doctor analyzed the blood sample for anemia.;"
"1_anæmi;anæmi;anæmien;;substantiv fælleskøn ental bestemt;noun singular definite;anaemia;the anaemia;;Lægen analyserede blodprøven for anæmi.;The doctor analyzed the blood sample for anemia.;"
"1_anæmi;anæmi;anæmi;amerikansk;substantiv fælleskøn;noun;anemia;anemia;american;;;"
1_anæmisk;anæmisk;anæmisk;britisk;adjektiv;adjective;anaemic;anaemic;british;;;
"1_anæmisk;anæmisk;anæmiske;;adjektiv flertal;adjective plural;anaemic;anaemic;;;;"
"1_anæmisk;anæmisk;anæmisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;anaemic;anaemic;;;;"
"1_anæmisk;anæmisk;anæmisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;anaemic;anaemic;;;;"
1_anæmisk;anæmisk;anæmisk;amerikansk;adjektiv;adjective;anemic;anemic;american;;;
"1_anæmisk;anæmisk;anæmiske;;adjektiv ental bestemt;adjective singular definite;anaemic;the anaemic;;;;"
"1_anæstesi;anæstesi;anæstesi;britisk;substantiv fælleskøn;noun;anaesthesia;anaesthesia;british;;;"
"1_anæstesi;anæstesi;anæstesien;;substantiv fælleskøn ental bestemt;noun singular definite;anaesthesia;the anaesthesia;;;;"
"1_anæstesi;anæstesi;anæstesi;amerikansk;substantiv fælleskøn;noun;anesthesia;anesthesia;american;;;"
"1_aortaklap;aortaklap;aortaklap;;substantiv fælleskøn;noun;aortic valve;aortic valve;;;;"
"1_apartheid;apartheid;apartheid;;substantiv fælleskøn;noun;apartheid;apartheid;;;;"
