"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_aktionær;aktionær;aktionærerne;;substantiv fælleskøn flertal bestemt;noun plural definite;shareholder;the share-holders;;;;"
"1_aktionær;aktionær;aktionærer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;shareholder;share-holders;;;;"
"1_aktionær;aktionær;aktionæren;;substantiv fælleskøn ental bestemt;noun singular definite;shareholder;the share-holder;;;;"
"1_aktiv;aktiv;aktiv;;adjektiv;adjective;active;active;;Lone er en aktiv og energisk ung kvinde.;Lone is an active and energetic young woman.;"
"1_aktiv;aktiv;aktive;;adjektiv flertal;adjective plural;active;active;;Lone er en aktiv og energisk ung kvinde.;Lone is an active and energetic young woman.;"
"1_aktiv;aktiv;aktiv;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;active;active;;Lone er en aktiv og energisk ung kvinde.;Lone is an active and energetic young woman.;"
"1_aktiv;aktiv;aktivt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;active;active;;Lone er en aktiv og energisk ung kvinde.;Lone is an active and energetic young woman.;"
"1_aktiv;aktiv;aktiv;;substantiv intetkøn;noun;asset;asset;;;;"
"1_aktiv;aktiv;aktiverne;;substantiv fælleskøn flertal bestemt;noun plural definite;asset;the assets;;;;"
"1_aktiv;aktiv;aktiverne;;substantiv intetkøn flertal bestemt;noun plural definite;asset;the assets;;;;"
"1_aktiv;aktiv;aktiver;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;asset;assets;;;;"
"1_aktiv;aktiv;aktiver;;substantiv intetkøn flertal ubestemt;noun plural indefinite;asset;assets;;;;"
"1_aktiv;aktiv;aktiven;;substantiv fælleskøn ental bestemt;noun singular definite;asset;the asset;;;;"
"1_aktiv;aktiv;aktivet;;substantiv intetkøn ental bestemt;noun singular definite;asset;the asset;;;;"
"1_aktiv;aktiv;aktive;;adjektiv ental bestemt;adjective singular definite;active;the active;;Lone er en aktiv og energisk ung kvinde.;Lone is an active and energetic young woman.;"
"1_aktivering;aktivering;aktivering;;substantiv fælleskøn;noun;activation;activation;;;;"
"1_aktivering;aktivering;aktiveringerne;;substantiv fælleskøn flertal bestemt;noun plural definite;activation;the activations;;;;"
"1_aktivering;aktivering;aktiveringer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;activation;activations;;;;"
"1_aktivering;aktivering;aktiveringen;;substantiv fælleskøn ental bestemt;noun singular definite;activation;the activation;;;;"
"1_aktivist;aktivist;aktivist;;substantiv fælleskøn;noun;activist;activist;;;;"
"1_aktivist;aktivist;aktivisterne;;substantiv fælleskøn flertal bestemt;noun plural definite;activist;the activists;;;;"
"1_aktivist;aktivist;aktivister;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;activist;activists;;;;"
"1_aktivist;aktivist;aktivisten;;substantiv fælleskøn ental bestemt;noun singular definite;activist;the activist;;;;"
"1_aktivitet;aktivitet;aktivitet;;substantiv fælleskøn;noun;activity;activity;;Dan hvidvasker alle sine penge i lovlige aktiviteter i Canada.;Dan launders all of his money in legal activities in Canada.;"
"1_aktivitet;aktivitet;aktiviteterne;;substantiv fælleskøn flertal bestemt;noun plural definite;activity;the activities;;Dan hvidvasker alle sine penge i lovlige aktiviteter i Canada.;Dan launders all of his money in legal activities in Canada.;"
"1_aktivitet;aktivitet;aktiviteter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;activity;activities;;Dan hvidvasker alle sine penge i lovlige aktiviteter i Canada.;Dan launders all of his money in legal activities in Canada.;"
"1_aktivitet;aktivitet;aktiviteten;;substantiv fælleskøn ental bestemt;noun singular definite;activity;the activity;;Dan hvidvasker alle sine penge i lovlige aktiviteter i Canada.;Dan launders all of his money in legal activities in Canada.;"
"1_aktstykke;aktstykke;aktstykke;;substantiv fælleskøn;noun;file;file;;;;"
"1_aktstykke;aktstykke;aktstykkerne;;substantiv intetkøn flertal bestemt;noun plural definite;file;the files;;;;"
"1_aktstykke;aktstykke;aktstykker;;substantiv intetkøn flertal ubestemt;noun plural indefinite;file;files;;;;"
"1_aktstykke;aktstykke;aktstykket;;substantiv intetkøn ental bestemt;noun singular definite;file;the file;;;;"
1_aktuel;aktuel;aktuel;;adjektiv;adjective;current;current;;;;
"1_aktuel;aktuel;aktuelle;;adjektiv flertal;adjective plural;current;current;;;;"
"1_aktuel;aktuel;aktuel;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;current;current;;;;"
"1_aktuel;aktuel;aktuelt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;current;current;;;;"
1_aktuel;aktuel;aktuel;;adjektiv;adjective;present;present;;;;
"1_aktuel;aktuel;aktuelle;;adjektiv ental bestemt;adjective singular definite;current;the current;;;;"
1_aktuel;aktuel;aktuel;;adjektiv;adjective;topical;topical;;;;
1_aktuel;aktuel;aktuel;;adjektiv;adjective;up‐to‐date;up‐to‐date;;;;
1_aktuelt;aktuelt;aktuelt;;adverbium;adverb;currently;currently;;;;
"1_aktør;aktør;aktør;;substantiv fælleskøn;noun;actor;actor;;;;"
"1_aktør;aktør;aktørerne;;substantiv fælleskøn flertal bestemt;noun plural definite;actor;the actors;;;;"
"1_aktør;aktør;aktører;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;actor;actors;;;;"
"1_aktør;aktør;aktøren;;substantiv fælleskøn ental bestemt;noun singular definite;actor;the actor;;;;"
"1_akupunktur;akupunktur;akupunktur;;substantiv fælleskøn;noun;acupuncture;acupuncture;;;;"
"1_akupunktur;akupunktur;akupunkturen;;substantiv fælleskøn ental bestemt;noun singular definite;acupuncture;the acupuncture;;;;"
"1_akupunktør;akupunktør;akupunktør;;substantiv fælleskøn;noun;acupuncturist;acupuncturist;;;;"
"1_akupunktør;akupunktør;akupunktørerne;;substantiv fælleskøn flertal bestemt;noun plural definite;acupuncturist;the acupuncturists;;;;"
"1_akupunktør;akupunktør;akupunktører;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;acupuncturist;acupuncturists;;;;"
"1_akupunktør;akupunktør;akupunktøren;;substantiv fælleskøn ental bestemt;noun singular definite;acupuncturist;the acupuncturist;;;;"
1_akustisk;akustisk;akustisk;;adjektiv;adjective;acoustic;acoustic;;;;
"1_akustisk;akustisk;akustiske;;adjektiv flertal;adjective plural;acoustic;acoustic;;;;"
"1_akustisk;akustisk;akustisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;acoustic;acoustic;;;;"
"1_akustisk;akustisk;akustisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;acoustic;acoustic;;;;"
"1_akustisk;akustisk;akustiske;;adjektiv ental bestemt;adjective singular definite;acoustic;the acoustic;;;;"
"1_akvarel;akvarel;akvarel;;substantiv;noun;water colour;water colour;;;;"
"1_akvariefisk;akvariefisk;akvariefisk;;substantiv fælleskøn;noun;aquarium fish;aquarium fish;;;;"
"1_akvarium;akvarium;akvarium;;substantiv intetkøn;noun;aquarium;aquarium;;Der er fem fisk i mit akvarium.;There are five fish in my aquarium.;"
"1_akvarium;akvarium;akvarierne;;substantiv intetkøn flertal bestemt;noun plural definite;aquarium;the aquaria;;Der er fem fisk i mit akvarium.;There are five fish in my aquarium.;"
"1_akvarium;akvarium;akvarier;;substantiv intetkøn flertal ubestemt;noun plural indefinite;aquarium;aquaria;;Der er fem fisk i mit akvarium.;There are five fish in my aquarium.;"
"1_akvarium;akvarium;akvariet;;substantiv intetkøn ental bestemt;noun singular definite;aquarium;the aquarium;;Der er fem fisk i mit akvarium.;There are five fish in my aquarium.;"
1_akvatisk;akvatisk;akvatisk;;adjektiv;adjective;aquatic;aquatic;;;;
"1_akvatisk;akvatisk;akvatiske;;adjektiv flertal;adjective plural;aquatic;aquatic;;;;"
"1_akvatisk;akvatisk;akvatisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;aquatic;aquatic;;;;"
"1_akvatisk;akvatisk;akvatisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;aquatic;aquatic;;;;"
"1_akvatisk;akvatisk;akvatiske;;adjektiv ental bestemt;adjective singular definite;aquatic;the aquatic;;;;"
"1_akvædukt;akvædukt;akvædukt;;substantiv fælleskøn;noun;aqueduct;aqueduct;;;;"
"1_akvædukt;akvædukt;akvædukterne;;substantiv fælleskøn flertal bestemt;noun plural definite;aqueduct;the aqueducts;;;;"
"1_akvædukt;akvædukt;akvædukter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;aqueduct;aqueducts;;;;"
"1_akvædukt;akvædukt;akvædukten;;substantiv fælleskøn ental bestemt;noun singular definite;aqueduct;the aqueduct;;;;"
1_alarm;alarm;alarm;;substantiv;noun;alarm;alarm;;;;
"1_alarm;alarm;alarmerne;;substantiv fælleskøn flertal bestemt;noun plural definite;alarm;the alarms;;;;"
"1_alarm;alarm;alarmer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alarm;alarms;;;;"
"1_alarm;alarm;alarmen;;substantiv fælleskøn ental bestemt;noun singular definite;alarm;the alarm;;;;"
1_Alaska;Alaska;Alaska;;substantiv;noun;Alaska;Alaska;;;;
"1_albaner;albaner;albaner;;substantiv fælleskøn;noun;Albanian;Albanian;;;;"
"1_albaner;albaner;albanerne;;substantiv fælleskøn flertal bestemt;noun plural definite;Albanian;the Albanians;;;;"
"1_albaner;albaner;albanere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;Albanian;Albanians;;;;"
"1_albaner;albaner;albaneren;;substantiv fælleskøn ental bestemt;noun singular definite;Albanian;the Albanian;;;;"
"1_Albanien;Albanien;Albanien;;substantiv intetkøn;noun;Albania;Albania;;;;"
1_albansk;albansk;albansk;;adjektiv;adjective;Albanian;Albanian;;;;
"1_albansk;albansk;albanske;;adjektiv flertal;adjective plural;Albanian;Albanian;;;;"
"1_albansk;albansk;albansk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Albanian;Albanian;;;;"
"1_albansk;albansk;albansk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Albanian;Albanian;;;;"
"1_albansk;albansk;albansk;;substantiv intetkøn;noun;Albanian;Albanian;;;;"
"1_albansk;albansk;albanske;;adjektiv ental bestemt;adjective singular definite;Albanian;the Albanian;;;;"
"1_albatros;albatros;albatros;;substantiv fælleskøn;noun;albatross;albatross;;;;"
"1_albatros;albatros;albatrosserne;;substantiv fælleskøn flertal bestemt;noun plural definite;albatross;the albatrosses;;;;"
"1_albatros;albatros;albatrosser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;albatross;albatrosses;;;;"
"1_albatros;albatros;albatrossen;;substantiv fælleskøn ental bestemt;noun singular definite;albatross;the albatross;;;;"
"1_albue;albue;albue;;substantiv fælleskøn;noun;elbow;elbow;;Jakken er slidt igennem på albuerne.;The jacket's wearing through at the elbows.;"
"1_albue;albue;albuerne;;substantiv fælleskøn flertal bestemt;noun plural definite;elbow;the elbows;;Jakken er slidt igennem på albuerne.;The jacket's wearing through at the elbows.;"
"1_albue;albue;albuer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;elbow;elbows;;Jakken er slidt igennem på albuerne.;The jacket's wearing through at the elbows.;"
"1_albue;albue;albuen;;substantiv fælleskøn ental bestemt;noun singular definite;elbow;the elbow;;Jakken er slidt igennem på albuerne.;The jacket's wearing through at the elbows.;"
"1_albuerum;albuerum;albuerum;talemåde;;;elbow room;elbow room;idiom;Tom ønskede lidt mere albuerum.;Tom wanted some more elbow room.;"
"1_albuerum;albuerum;albuerum;;substantiv intetkøn;noun;elbow room;elbow room;;Tom ønskede lidt mere albuerum.;Tom wanted some more elbow room.;"
"1_albuerum;albuerum;albuerummet;;substantiv intetkøn ental bestemt;noun singular definite;elbow room;the elbow room;;Tom ønskede lidt mere albuerum.;Tom wanted some more elbow room.;"
"1_album;album;album;;substantiv intetkøn;noun;album;album;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_album;album;albummene;;substantiv intetkøn flertal bestemt;noun plural definite;album;the albums;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_album;album;albummerne;;substantiv intetkøn flertal bestemt;noun plural definite;album;the albums;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_album;album;album;;substantiv intetkøn flertal ubestemt;noun plural indefinite;album;albums;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_album;album;albummer;;substantiv intetkøn flertal ubestemt;noun plural indefinite;album;albums;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_album;album;albummet;;substantiv intetkøn ental bestemt;noun singular definite;album;the album;;Hvad er din favoritsang på dette album?;What is your favorite song on this album?;"
"1_alder;alder;alder;;substantiv fælleskøn;noun;age;age;;Han er omtrent på din alder.;He is about your age.;"
"1_alder;alder;aldrene;;substantiv fælleskøn flertal bestemt;noun plural definite;age;the ages;;Han er omtrent på din alder.;He is about your age.;"
"1_alder;alder;aldre;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;age;ages;;Han er omtrent på din alder.;He is about your age.;"
"1_alder;alder;alderen;;substantiv fælleskøn ental bestemt;noun singular definite;age;the age;;Han er omtrent på din alder.;He is about your age.;"
"1_alderdom;alderdom;alderdom;;substantiv fælleskøn;noun;old age;old age;;;;"
"1_alderdom;alderdom;alderdommen;;substantiv fælleskøn ental bestemt;noun singular definite;old age;the old age;;;;"
"1_alderdomshjem;alderdomshjem;alderdomshjem;;substantiv;noun;old people's home;old people's home;;Min svigermor bor på et alderdomshjem.;My mother-in-law lives in an old people's home.;"
"1_alderdomshjem;alderdomshjem;alderdomshjemmene;;substantiv intetkøn flertal bestemt;noun plural definite;old people's home;the old people's homes;;Min svigermor bor på et alderdomshjem.;My mother-in-law lives in an old people's home.;"
"1_alderdomshjem;alderdomshjem;alderdomshjem;;substantiv intetkøn flertal ubestemt;noun plural indefinite;old people's home;old people's homes;;Min svigermor bor på et alderdomshjem.;My mother-in-law lives in an old people's home.;"
"1_alderdomshjem;alderdomshjem;alderdomshjemmet;;substantiv intetkøn ental bestemt;noun singular definite;old people's home;the old people's home;;Min svigermor bor på et alderdomshjem.;My mother-in-law lives in an old people's home.;"
1_aldrende;aldrende;aldrende;;adjektiv;adjective;ageing;ageing;;;;
"1_aldrende;aldrende;aldrende;;adjektiv flertal;adjective plural;ageing;ageing;;;;"
"1_aldrende;aldrende;aldrende;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;ageing;ageing;;;;"
"1_aldrende;aldrende;aldrende;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;ageing;ageing;;;;"
1_aldrende;aldrende;aldrende;;adjektiv;adjective;aging;aging;;;;
"1_aldrende;aldrende;aldrende;;adjektiv ental bestemt;adjective singular definite;ageing;the ageing;;;;"
"1_aldrig;aldrig;aldrig;;adverbium;adverb;never;never;;Røgalarmen er aldrig blevet vedligeholdt.;The smoke alarm has never been maintained.;"
"1_aldring;aldring;aldring;;substantiv fælleskøn;noun;ageing;ageing;;;;"
"1_aldring;aldring;aldringen;;substantiv fælleskøn ental bestemt;noun singular definite;ageing;the ageing;;;;"
"1_aldring;aldring;aldring;;substantiv fælleskøn;noun;aging;aging;;;;"
1_alene;alene;alene;;adjektiv,adverbium;adjective,"adverb;alone;alone;;Han tror det er umuligt for mig at bestige bjerget alene.;He thinks it impossible for me to climb the mountain alone.;"
1_alene;alene;alene;;;;only;only;;;;
1_alene;alene;alene;;;;sole;sole;;;;
1_alene;alene;alene;;;;solitary;solitary;;;;
"1_alenlang;alenlang;alenlang;;adjektiv;adjective;very long;very long;;;;"
"1_Alexander__den_Store;Alexander  den Store;Alexander  den Store;;substantiv fælleskøn;noun;Alexander the Great;Alexander the Great;;;;"
"1_alfabet;alfabet;alfabet;;substantiv intetkøn;noun;alphabet;alphabet;;I alfabetet kommer B efter A.;In the alphabet"," B comes after A.;"
"1_alfabet;alfabet;alfabeterne;;substantiv intetkøn flertal bestemt;noun plural definite;alphabet;the alphabets;;I alfabetet kommer B efter A.;In the alphabet"," B comes after A.;"
"1_alfabet;alfabet;alfabeter;;substantiv intetkøn flertal ubestemt;noun plural indefinite;alphabet;alphabets;;I alfabetet kommer B efter A.;In the alphabet"," B comes after A.;"
"1_alfabet;alfabet;alfabetet;;substantiv intetkøn ental bestemt;noun singular definite;alphabet;the alphabet;;I alfabetet kommer B efter A.;In the alphabet"," B comes after A.;"
"1_alfabetisk;alfabetisk;alfabetisk;;adjektiv;adjective;alphabetical;alphabetical;;Hun sorterede filerne i alfabetisk rækkefølge.;She sorted the files in alphabetical order.;"
"1_alfabetisk;alfabetisk;alfabetiske;;adjektiv flertal;adjective plural;alphabetical;alphabetical;;Hun sorterede filerne i alfabetisk rækkefølge.;She sorted the files in alphabetical order.;"
"1_alfabetisk;alfabetisk;alfabetisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;alphabetical;alphabetical;;Hun sorterede filerne i alfabetisk rækkefølge.;She sorted the files in alphabetical order.;"
"1_alfabetisk;alfabetisk;alfabetisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;alphabetical;alphabetical;;Hun sorterede filerne i alfabetisk rækkefølge.;She sorted the files in alphabetical order.;"
"1_alfabetisk;alfabetisk;alfabetiske;;adjektiv ental bestemt;adjective singular definite;alphabetical;the alphabetical;;Hun sorterede filerne i alfabetisk rækkefølge.;She sorted the files in alphabetical order.;"
"1_alfahan;alfahan;alfahan;;substantiv;noun;alpha male;alpha male;;;;"
"1_alfahan;alfahan;alfahannerne;;substantiv fælleskøn flertal bestemt;noun plural definite;alpha male;the alpha males;;;;"
"1_alfahan;alfahan;alfahanner;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alpha male;alpha males;;;;"
"1_alfahan;alfahan;alfahannen;;substantiv fælleskøn ental bestemt;noun singular definite;alpha male;the alpha male;;;;"
1_alfanumerisk;alfanumerisk;alfanumerisk;;adjektiv;adjective;alphanumeric;alphanumeric;;;;
"1_alfanumerisk;alfanumerisk;alfanumeriske;;adjektiv flertal;adjective plural;alphanumeric;alpha-numeric;;;;"
"1_alfanumerisk;alfanumerisk;alfanumerisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;alphanumeric;alpha-numeric;;;;"
"1_alfanumerisk;alfanumerisk;alfanumerisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;alphanumeric;alpha-numeric;;;;"
"1_alfanumerisk;alfanumerisk;alfanumeriske;;adjektiv ental bestemt;adjective singular definite;alpha-numeric;the alphanumeric;;;;"
"1_alfons;alfons;alfons;;substantiv fælleskøn;noun;pimp;pimp;;;;"
"1_alfons;alfons;alfonserne;;substantiv fælleskøn flertal bestemt;noun plural definite;pimp;the pimps;;;;"
"1_alfons;alfons;alfonser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;pimp;pimps;;;;"
"1_alfons;alfons;alfonsen;;substantiv fælleskøn ental bestemt;noun singular definite;pimp;the pimp;;;;"
"1_alfonseri;alfonseri;alfonseri;;substantiv intetkøn;noun;pimping;pimping;;;;"
"1_algebra;algebra;algebra;;substantiv fælleskøn;noun;algebra;algebra;;;;"
"1_algebra;algebra;algebraerne;;substantiv fælleskøn flertal bestemt;noun plural definite;algebra;the algebras;;;;"
"1_algebra;algebra;algebraer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;algebra;algebras;;;;"
"1_algebra;algebra;algebraen;;substantiv fælleskøn ental bestemt;noun singular definite;algebra;the algebra;;;;"
1_algebraisk;algebraisk;algebraisk;;adjektiv;adjective;algebraic;algebraic;;;;
"1_algebraisk;algebraisk;algebraiske;;adjektiv flertal;adjective plural;algebraic;algebraic;;;;"
"1_algebraisk;algebraisk;algebraisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;algebraic;algebraic;;;;"
"1_algebraisk;algebraisk;algebraisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;algebraic;algebraic;;;;"
"1_algebraisk;algebraisk;algebraiske;;adjektiv ental bestemt;adjective singular definite;algebraic;the algebraic;;;;"
"1_alger;alger;alger;;substantiv flertal;noun;algae;algae;;;;"
"1_algerier;algerier;algerier;;substantiv fælleskøn;noun;Algerian;Algerian;;Min kæreste er algerier.;My boyfriend is Algerian.;"
"1_algerier;algerier;algerierne;;substantiv fælleskøn flertal bestemt;noun plural definite;Algerian;the Algerians;;Min kæreste er algerier.;My boyfriend is Algerian.;"
"1_algerier;algerier;algeriere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;Algerian;Algerians;;Min kæreste er algerier.;My boyfriend is Algerian.;"
"1_algerier;algerier;algerieren;;substantiv fælleskøn ental bestemt;noun singular definite;Algerian;the Algerian;;Min kæreste er algerier.;My boyfriend is Algerian.;"
"1_Algeriet;Algeriet;Algeriet;;substantiv;noun;Algeria;Algeria;;Algeriet er et land i Nordafrika.;Algeria is a country in North Africa.;"
"1_algerisk;algerisk;algerisk;;adjektiv;adjective;Algerian;Algerian;;Begge mine forældre er algeriske.;Both my parents are Algerian.;"
"1_algerisk;algerisk;algeriske;;adjektiv flertal;adjective plural;Algerian;Algerian;;Begge mine forældre er algeriske.;Both my parents are Algerian.;"
"1_algerisk;algerisk;algerisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Algerian;Algerian;;Begge mine forældre er algeriske.;Both my parents are Algerian.;"
"1_algerisk;algerisk;algerisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Algerian;Algerian;;Begge mine forældre er algeriske.;Both my parents are Algerian.;"
"1_algerisk;algerisk;algeriske;;adjektiv ental bestemt;adjective singular definite;Algerian;the Algerian;;Begge mine forældre er algeriske.;Both my parents are Algerian.;"
"1_algiersk;algiersk;algierske;;adjektiv flertal;adjective plural;Algerian;Algerian;;;;"
"1_algiersk;algiersk;algiersk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;Algerian;Algerian;;;;"
"1_algiersk;algiersk;algiersk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;Algerian;Algerian;;;;"
"1_algiersk;algiersk;algierske;;adjektiv ental bestemt;adjective singular definite;Algerian;the Algerian;;;;"
"1_alibi;alibi;alibi;;substantiv intetkøn;noun;alibi;alibi;;Har du et alibi?;Do you have an alibi?;"
1_alifatisk;alifatisk;alifatisk;;adjektiv;adjective;aliphatic;aliphatic;;;;
"1_alifatisk;alifatisk;alifatiske;;adjektiv flertal;adjective plural;aliphatic;aliphatic;;;;"
"1_alifatisk;alifatisk;alifatisk;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;aliphatic;aliphatic;;;;"
"1_alifatisk;alifatisk;alifatisk;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;aliphatic;aliphatic;;;;"
"1_alifatisk;alifatisk;alifatiske;;adjektiv ental bestemt;adjective singular definite;aliphatic;the aliphatic;;;;"
"1_alkalitet;alkalitet;alkalitet;;substantiv fælleskøn;noun;alkalinity;alkalinity;;;;"
"1_alkohol;alkohol;alkohol;;substantiv fælleskøn;noun;alcohol;alcohol;;Jeg vil aldrig drikke alkohol igen.;I'll never drink alcohol again.;"
"1_alkohol;alkohol;alkoholerne;;substantiv fælleskøn flertal bestemt;noun plural definite;alcohol;the alcohols;;Jeg vil aldrig drikke alkohol igen.;I'll never drink alcohol again.;"
"1_alkohol;alkohol;alkoholer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alcohol;alcohols;;Jeg vil aldrig drikke alkohol igen.;I'll never drink alcohol again.;"
"1_alkohol;alkohol;alkoholen;;substantiv fælleskøn ental bestemt;noun singular definite;alcohol;the alcohol;;Jeg vil aldrig drikke alkohol igen.;I'll never drink alcohol again.;"
"1_alkoholfri;alkoholfri;alkoholfri;;adjektiv;adjective;non-alcoholic;non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfri;;adjektiv flertal;adjective plural;non-alcoholic;non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfrie;;adjektiv flertal;adjective plural;non-alcoholic;non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfri;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;non-alcoholic;non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfrit;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;non-alcoholic;non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfri;;adjektiv ental bestemt;adjective singular definite;non-alcoholic;the non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
"1_alkoholfri;alkoholfri;alkoholfrie;;adjektiv ental bestemt;adjective singular definite;non-alcoholic;the non-alcoholic;;Tom drak en alkoholfri øl.;Tom drank a non-alcoholic beer.;"
1_alkoholholdig;alkoholholdig;alkoholholdig;;adjektiv;adjective;alcoholic;alcoholic;;;;
"1_alkoholholdig;alkoholholdig;alkoholholdige;;adjektiv flertal;adjective plural;alcoholic;alcoholic;;;;"
"1_alkoholholdig;alkoholholdig;alkoholholdig;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;alcoholic;alcoholic;;;;"
"1_alkoholholdig;alkoholholdig;alkoholholdigt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;alcoholic;alcoholic;;;;"
"1_alkoholholdig;alkoholholdig;alkoholholdige;;adjektiv ental bestemt;adjective singular definite;alcoholic;the alcoholic;;;;"
"1_alkoholiker;alkoholiker;alkoholiker;;substantiv fælleskøn;noun;alcoholic;alcoholic;;Hun er alkoholiker.;She's an alcoholic.;"
"1_alkoholiker;alkoholiker;alkoholikerne;;substantiv fælleskøn flertal bestemt;noun plural definite;alcoholic;the alcoholics;;Hun er alkoholiker.;She's an alcoholic.;"
"1_alkoholiker;alkoholiker;alkoholikere;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alcoholic;alcoholics;;Hun er alkoholiker.;She's an alcoholic.;"
"1_alkoholiker;alkoholiker;alkoholikeren;;substantiv fælleskøn ental bestemt;noun singular definite;alcoholic;the alcoholic;;Hun er alkoholiker.;She's an alcoholic.;"
1_alkoholisk;alkoholisk;alkoholisk;;adjektiv;adjective;alcoholic;alcoholic;;;;
"1_alkoholisme;alkoholisme;alkoholisme;;substantiv fælleskøn;noun;alcoholism;alcoholism;;;;"
"1_alkoholisme;alkoholisme;alkoholismen;;substantiv fælleskøn ental bestemt;noun singular definite;alcoholism;the alcoholism;;;;"
"1_alkoholmisbrug;alkoholmisbrug;alkoholmisbrug;;substantiv;noun;alcohol abuse;alcohol abuse;;;;"
"1_alkoholmisbrug;alkoholmisbrug;alkoholmisbrugen;;substantiv fælleskøn ental bestemt;noun singular definite;alcohol abuse;the alcohol abuse;;;;"
"1_alkoholmisbrug;alkoholmisbrug;alkoholmisbruget;;substantiv intetkøn ental bestemt;noun singular definite;alcohol abuse;the alcohol abuse;;;;"
"1_alkymi;alkymi;alkymi;;substantiv fælleskøn;noun;alchemy;alchemy;;;;"
"1_alkymi;alkymi;alkymien;;substantiv fælleskøn ental bestemt;noun singular definite;alchemy;the alchemy;;;;"
"1_alkymist;alkymist;alkymist;;substantiv fælleskøn;noun;alchemist;alchemist;;;;"
"1_alkymist;alkymist;alkymisterne;;substantiv fælleskøn flertal bestemt;noun plural definite;alchemist;the alchemists;;;;"
"1_alkymist;alkymist;alkymister;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;alchemist;alchemists;;;;"
"1_alkymist;alkymist;alkymisten;;substantiv fælleskøn ental bestemt;noun singular definite;alchemist;the alchemist;;;;"
