1_abortere;abortere;abortere;;verbum;verb;miscarry;miscarry;;;;
"1_abortere;abortere;aborterede;;verbum datid;verb past tense;miscarry;miscarried;;;;"
"1_abortere;abortere;aborterer;;verbum nutid;verb present 3rd person singular;miscarry;miscarries;;;;"
"1_abortere;abortere;aborterer;;verbum nutid;verb present non 3rd person;miscarry;miscarry;;;;"
"1_abrikos;abrikos;abrikos;;substantiv fælleskøn;noun;apricot;apricot;;;;"
"1_abrikos;abrikos;abrikoserne;;substantiv fælleskøn flertal bestemt;noun plural definite;apricot;the apricots;;;;"
"1_abrikos;abrikos;abrikoser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;apricot;apricots;;;;"
"1_abrikos;abrikos;abrikosen;;substantiv fælleskøn ental bestemt;noun singular definite;apricot;the apricot;;;;"
1_abrupt;abrupt;abrupt;;adjektiv;adjective;abrupt;abrupt;;;;
1_absces;absces;absces;;substantiv;noun;abscess;abscess;;;;
"1_absces;absces;abscesserne;;substantiv fælleskøn flertal bestemt;noun plural definite;abscess;the abscesses;;;;"
"1_absces;absces;abscesser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abscess;abscesses;;;;"
"1_absces;absces;abscessen;;substantiv fælleskøn ental bestemt;noun singular definite;abscess;the abscess;;;;"
1_abscisse;abscisse;abscisse;;substantiv;noun;abscissa;abscissa;;;;
"1_abscisse;abscisse;abscisserne;;substantiv fælleskøn flertal bestemt;noun plural definite;abscissa;the abscissae;;;;"
"1_abscisse;abscisse;abscisser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abscissa;abscissae;;;;"
"1_abscisse;abscisse;abscissen;;substantiv fælleskøn ental bestemt;noun singular definite;abscissa;the abscissa;;;;"
"1_abscisseakse;abscisseakse;abscisseakse;;substantiv;noun;axis of abscissas;axis of abscissas;;;;"
1_absint;absint;absint;;substantiv;noun;absinth;absinth;;;;
"1_absint;absint;absinterne;;substantiv fælleskøn flertal bestemt;noun plural definite;absinth;the absinths;;;;"
"1_absint;absint;absinter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;absinth;absinths;;;;"
"1_absint;absint;absinten;;substantiv fælleskøn ental bestemt;noun singular definite;absinth;the absinth;;;;"
"1_absolut;absolut;absolut;;adjektiv;adjective;absolute;absolute;;At vide hvordan man bøjer udsagnsord"," er en absolut nødvendighed.;Knowing how to conjugate verbs is an absolute necessity.;"
"1_absolut;absolut;absolutte;;adjektiv flertal;adjective plural;absolute;absolute;;At vide hvordan man bøjer udsagnsord"," er en absolut nødvendighed.;Knowing how to conjugate verbs is an absolute necessity.;"
"1_absolut;absolut;absolut;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;absolute;absolute;;At vide hvordan man bøjer udsagnsord"," er en absolut nødvendighed.;Knowing how to conjugate verbs is an absolute necessity.;"
"1_absolut;absolut;absolut;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;absolute;absolute;;At vide hvordan man bøjer udsagnsord"," er en absolut nødvendighed.;Knowing how to conjugate verbs is an absolute necessity.;"
"1_absolut;absolut;absolutte;;adjektiv ental bestemt;adjective singular definite;absolute;the absolute;;At vide hvordan man bøjer udsagnsord"," er en absolut nødvendighed.;Knowing how to conjugate verbs is an absolute necessity.;"
"1_absolut_sidst;absolut sidst;absolut sidst;talemåde;;;very last;very last;idiom;;;"
1_absolutisme;absolutisme;absolutisme;;substantiv;noun;absolutism;absolutism;;;;
"1_absolutisme;absolutisme;absolutismen;;substantiv fælleskøn ental bestemt;noun singular definite;absolutism;the absolutism;;;;"
1_absolutist;absolutist;absolutist;;substantiv;;absolutist;absolutist;;;;
1_absolutistisk;absolutistisk;absolutistisk;;adjektiv;adjective;absolutist;absolutist;;;;
"1_absorbere;absorbere;absorbere;;verbum;verb;absorb;absorb;;Bomuld absorberer vand.;Cotton absorbs water.;"
"1_absorbere;absorbere;absorbere;;verbum;verb;absorb;absorb;;Bomuld absorberer vand.;Cotton absorbs water.;"
"1_absorbere;absorbere;absorberede;;verbum datid;verb past tense;absorb;absorbed;;Bomuld absorberer vand.;Cotton absorbs water.;"
"1_absorbere;absorbere;absorberer;;verbum nutid;verb present 3rd person singular;absorb;absorbs;;Bomuld absorberer vand.;Cotton absorbs water.;"
"1_absorbere;absorbere;absorberer;;verbum nutid;verb present non 3rd person;absorb;absorb;;Bomuld absorberer vand.;Cotton absorbs water.;"
1_absorberende;absorberende;absorberende;;adjektiv;adjective;absorbent;absorbent;;;;
1_absorbering;absorbering;absorbering;;substantiv;noun;absorption;absorption;;;;
"1_absorbering;absorbering;absorberingen;;substantiv fælleskøn ental bestemt;noun singular definite;absorption;the absorption;;;;"
1_abstinens;abstinens;abstinens;;substantiv;noun;abstinence;abstinence;;;;
"1_abstinens;abstinens;abstinensen;;substantiv fælleskøn ental bestemt;noun singular definite;abstinence;the abstinence;;;;"
"1_abstinenssymptomer;abstinenssymptomer;abstinenssymptomer;;substantiv;noun;withdrawal symptoms;withdrawal symptoms;;;;"
1_abstrahere;abstrahere;abstrahere;;verbum;verb;abstract;abstract;;;;
1_abstrahere;abstrahere;abstrahere;;verbum;verb;abstract;abstract;;;;
"1_abstrahere;abstrahere;abstraherede;;verbum datid;verb past tense;abstract;abstracted;;;;"
"1_abstrahere;abstrahere;abstraherer;;verbum nutid;verb present 3rd person singular;abstract;abstracts;;;;"
"1_abstrahere;abstrahere;abstraherer;;verbum nutid;verb present non 3rd person;abstract;abstract;;;;"
1_abstrakt;abstrakt;abstrakt;;adjektiv;adjective;abstract;abstract;;;;
"1_abstrakt;abstrakt;abstrakte;;adjektiv flertal;adjective plural;abstract;abstract;;;;"
"1_abstrakt;abstrakt;abstrakt;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;abstract;abstract;;;;"
"1_abstrakt;abstrakt;abstrakt;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;abstract;abstract;;;;"
"1_abstrakt;abstrakt;abstrakte;;adjektiv ental bestemt;adjective singular definite;abstract;the abstract;;;;"
1_abstraktion;abstraktion;abstraktion;;substantiv;noun;abstraction;abstraction;;;;
"1_abstraktion;abstraktion;abstraktionerne;;substantiv fælleskøn flertal bestemt;noun plural definite;abstraction;the abstractions;;;;"
"1_abstraktion;abstraktion;abstraktioner;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abstraction;abstractions;;;;"
"1_abstraktion;abstraktion;abstraktionen;;substantiv fælleskøn ental bestemt;noun singular definite;abstraction;the abstraction;;;;"
"1_absurd;absurd;absurd;;adjektiv;adjective;absurd;absurd;;Det er absurd!;That's absurd.;"
"1_absurd;absurd;absurde;;adjektiv flertal;adjective plural;absurd;absurd;;Det er absurd!;That's absurd.;"
"1_absurd;absurd;absurd;;adjektiv fælleskøn ental ubestemt;adjective singular indefinite;absurd;absurd;;Det er absurd!;That's absurd.;"
"1_absurd;absurd;absurd;;adjektiv intetkøn ental ubestemt;adjective singular indefinite;absurd;absurd;;Det er absurd!;That's absurd.;"
"1_absurd;absurd;absurde;;adjektiv ental bestemt;adjective singular definite;absurd;the absurd;;Det er absurd!;That's absurd.;"
"1_absurditet;absurditet;absurditet;;substantiv fælleskøn;noun;absurdity;absurdity;;;;"
"1_absurditet;absurditet;absurditeterne;;substantiv fælleskøn flertal bestemt;noun plural definite;absurdity;the absurdities;;;;"
"1_absurditet;absurditet;absurditeter;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;absurdity;absurdities;;;;"
"1_absurditet;absurditet;absurditeten;;substantiv fælleskøn ental bestemt;noun singular definite;absurdity;the absurdity;;;;"
1_abyssiner;abyssiner;abyssiner;;substantiv;noun;Abyssinian;Abyssinian;;;;
"1_acceleration;acceleration;acceleration;;substantiv fælleskøn;noun;acceleration;acceleration;;;;"
"1_acceleration;acceleration;accelerationerne;;substantiv fælleskøn flertal bestemt;noun plural definite;acceleration;the accelerations;;;;"
